TweetID;Label;tweet
46243856106258433;4;Best and worst #China Internet #stocks. http://bit.ly/gRvKDN $BIDU $CTRP $DANG $GAME $NTES $SINA $YOKU
46279496625688576;2a;Stock Market Analysis Video with Mike Cintolo (@cabotdude): http://bit.ly/dGUUaC $FNSR $CRM $FFIV $SINA $OPEN $BIDU $LULU $RL $PCLN $UA $$
46296682798915584;4;Seeing more and more leaders moving today: $AAPL, $BIDU, $OPEN, $LULU,  $ARUN, $SODA, etc.
46322472131371008;2b;Google Slips, Bing Gains In Feb U.S. Web Searches - Tech Trader Daily - $GOOG $MSFT $YHOO $AOL $IACI $SCOR $BIDU http://bit.ly/g7NdGr
46371164079140864;4;@StockSage1 like the $OIH.....had a great day with $BIDU, $F, $MA, $NFLX, $SU, $ADM and $WFT
46595280568729600;4;$LULU : StockTwits50 The latest edition of the St50 http://stk.ly/hVrpZV $jazz $bidu $lulu $$ http://bit.ly/hXI1eG
46598657935556608;4;RT @abnormalreturns: A lot of turnover in names this week. RT @StockTwits50: The latest edition of the St50 http://stk.ly/hVrpZV $jazz $ ...
46616211064242176;4;$LULU $OPEN $SINA $BIDU $AAPL $PCLN some the most constructive charts through the correction...expect new highs soon if we resume higher
46648299226275840;4;RT @StockTwits50: The latest edition of the St50 http://stk.ly/hVrpZV $jazz $bidu $lulu $$
46678615932420096;2a;Watching $SOHU $SINA $BIDU $NTES for more... been in $SINA $SOHU for while.. looking at $NTES now.
46743641888264192;4;My LIst 03/14 to be watching next week $vrx, $rvbd, $aapl, $merc, $tlb, $rl, $crus, $armh, $nvda, Actual longs $Bidu, $open
47041424994217984;2b;Stocks 2 Watch 03.14.2011: $SIX, $PLL, $LULU, $CBRX, $SNDA, $AAPL, $SLW, $SHPGY, $OPEN, $BIDU, $CBG, $YOKU, and $ANIK to name a few.
47083959934398464;4;Tomorrow's watchlist-$RVBD, $BIDU,  $WY.
47130163124772864;4;A few of the charts that look good $BIDU $SOHU $BID $TIF $RL
47130384886018048;4;RT @downtowntrader: A few of the charts that look good $BIDU $SOHU $BID $TIF $RL
47143642577649664;2b;"These &gt;&gt; $PWER $NTAP $BIDU $MO $HERO $CROX $ITW $CNI $TBL $LUK $VRX $HYC $EL $WNR and a few more, are on my watchlist. http://bit.ly/h2fVpO"
47146914059264001;4;Staying Open Minded  http://stk.ly/hSW4Ej $BIDU $SOHU $BID $RL
47157988875714560;2a;RT @downtowntrader: Staying Open Minded  http://stk.ly/hSW4Ej $BIDU $SOHU $BID $RL
47232256279986176;2a;NEW POST: SLIM PICKINGS.. $OPEN $SOHU $BIDU $LUK
47234421190950912;4;RT @ZorTrades: NEW POST: SLIM PICKINGS http://stk.ly/gO7BPm  $OPEN $SOHU $BIDU $LUK $UA $RL $TZOO
47255048606064640;4;ERROR
47271276632489985;2b;Other juicy matchups in #MarchStockMania. $WMT vs. $BIDU. $CSCO vs. $GS. $JPM vs. $GM. $AMZN vs. $INTC. $MSFT vs. $NFLX. http://t.co/UUxWQyI
47277371224625152;4;RT @StockTwits: Staying Open Minded http://stk.ly/hSW4Ej via @downtowntrader  $BIDU $SOHU $BID $RL
47318063409934336;4;"Top 5 Internet stocks led by Priceline $PCLN, Baidu $BIDU; and Netflix $NFLX hanging in there http://bit.ly/fXCcmp"
47320440514953218;4;Who will be Cinderella in #MarchStockMania? $NFLX is beating $MSFT so far while $BIDU is ahead of $WMT. $V vs. $JNJ may go down to the wire!
47326947684003840;2b;Who will be Cinderella in #MarchStockMania? $NFLX is beating $MSFT so far, while $BIDU is ahead of $WMT. http://bit.ly/fkRg2T (@LaMonicaBuz)
47403467672780800;2b;$DECK $CMG $APKT $BIDU charts all very bullish, IMHO.  got two cup w/handles and two square boxes setting up
47435311235596288;2b;@unbeliever008 the $AAPL is doing good, the rest are lousy. i've got $ETN, $AKAM and $GOOG [sold my $BIDU]. this nuke reactor thing is scary
47439867860353024;0;@lowtown21 protected my $NFLX minimal gain and sold my $BiDu even tho it held up well couldn't swing it in these markets can'tTell ya enuff
47629641472671744;4;Someone must have realized $BIDU is a Chinese company. 117 when I woke up, back above 120 now #flashcrash
47631813115518976;2a;ERROR
47635387220361216;0;ERROR
47639411042689024;2b;RT @LaMonicaBuzz: Round 2 of #MarchStockMania is here http://t.co/UUxWQyI via @CNNMoney We're down to the Sweet 16! Can $AMZN beat $AAPL ...
47640573158494208;4;Larger internet names are safe heaven among Chinese stocks  : $BIDU : http://scroli.com/profile/BIDU #Baidu
47641893668003840;0;Ugh, partial fills just look ugly. $BIDU 119.15
47642916352573440;2a;free trading chatroom is open!  email tom@tomwillardtrading.com to join! some we r watching - $LDK $STP $TSL $OVTI $SNDK $JDSU $BIDU $GOOG
47648940048400384;4;PM Long $BIDU $SOHU $ERX. Looking at $AGQ $SINA $YOKU $CMG - at target prices.
47650804869505025;2a;Rumor: Baidu, Xunlei Develop Download Services Client  : $BIDU : http://scroli.com/profile/BIDU #Baidu
47653519263666177;4;Should have set my scaled orders earlier...missed a few entries, juggling positions. Green and good on all $AGQ $ERX $SOHU $BIDU $SINA
47671179904942080;4;@johnsontrading A nice list you have there. $ARUN $CMG $BIDU
47672391131869185;4;ERROR
47673033682452480;2a;Today for me: FOCUS!  $AAPL  $BIDU  $QQQQ
47677642689871872;4;ERROR
47684275604164608;2a;Option Activity Alert: MetLife, Baidu, and Chesapeake Energy Corporation  : $BIDU : http://scroli.com/profile/BIDU #Baidu
47685867703242752;2a;"Would have been up 4%+ had I held my positions $AGQ $BIDU $SOHU $ERX $SINA from AM; but reached my targets, have peace of mind and time."
47689757723078657;4;ERROR
47694880784392192;2a;ERROR
47695821549998080;2a;ERROR
47700725479915521;0;ERROR
47710017708756992;4;ERROR
47714973136338944;2b;ERROR
47716335458861056;2b;ERROR
47721731242205184;2a;ERROR
47733312260804608;4;ERROR
47748866342268929;2a;ERROR
47751584830070786;2b;cashed out on $MOS sticking with positions in $BIDU $APKT $CMG $DECK.  All but $DECK holding up well
47768625708404736;2a;Minyanville\'s T3 Live Midday Market Snapshot: Tech Leaders Highlight Morning ...  : $BIDU : http://scroli.com/profile/BIDU #Baidu
47768627381932033;2a;Search Engine Giants YHOO, GOOG, BIDU  : $BIDU : http://scroli.com/profile/BIDU #Baidu
47769304510365696;4;Don't Panic: These Stocks (Noble, Baidu) Look Great to Buy http://seekingalpha.com/a/5jer $BIDU $NE
47779253877612545;4;ERROR
47813471450042368;2b;ERROR
47843595276922881;4;$NFLX $OPEN $LULU $PCLN $ARUN $BIDU $APKT  look great considering the melt down...all held the 50 day and will be go to stocks on a bounce
47873499011887104;4;Baidu mulls investment in Xunlei, cooperation in a client product RD under way,  : $BIDU : http://scroli.com/profile/BIDU #Baidu
47889384292364288;0;Baidu accused by writers of copyright theft  : $BIDU : http://scroli.com/profile/BIDU #Baidu
47933228044124160;0;@niubi I'm sure $bidu is weeping all the way to the bank about how tough they have it.
48003541041819648;4;RT @johnsontrading: Stocks holding up well (watchlist): $LULU, $ARUN, $BIDU, $CMG, $WWWW, $OPEN, $OPNT, $JAZZ, $FTNT, $APKT, $UA, $HMSY
48014666546413568;2b;$BIDU just shy of yesterday's gap .... moving higher
48014999473491968;2a;SHORT $AAPL , $AMZN & $BIDU
48015559585038337;4;$BIDU http://chart.ly/e5niv9p Holding up well
48019499580014592;4;$bidu super impressive here and recently
48022134445981696;4;A few leaders like $SINA, $SOHU, $OPEN, $BIDU, $LULU but in a down trending market, few strategies work. $$
48022370081972225;4;silly momo stocks continue to rally $bidu $nflx $cmg $pcln $open $lulu
48022661086969856;4;ERROR
48026428981260288;4;ERROR
48035422730846209;4;Groundhog day:  Indexes down but $BIDU, $OPEN, $UA, $APKT, $JAZZ, $YOKU, $SINA, $ARUN, $BSFT, $GMCR up
48043077625057281;0;RT @niubi: Chinese writers accuse Baidu of stealing - Yahoo! News http://yhoo.it/gIffD4 tough being so dominant. Lots of people gunning  ...
48046515507314688;2b;$bidu totally crashing...figures
48046712505376769;2a;ERROR
48068263271337984;4;Sold a Apr condor on $BIDU 100/105 and 135/140 for 1.33
48071409620099072;4;ERROR
48072156176859137;2a;ERROR
48072659208122368;0;China's Baidu $BIDU is in another copyright flap, but this time the issue is in its home country http://bit.ly/gvhNQR
48088014697660416;4;ERROR
48091663511453696;4;Took a stab a $bidu mar 125 at. 35 got out at. 52...should have held..ill take that
48093619764203520;4;Back in at. 71 $bidu mar 125
48107147531268096;4;ERROR
48114105302781952;2b;Out of $bidu @.55 small position ..got a bit greedy...in at. 71..march 125
48128340527288321;2b;ERROR
48137415319240704;4;Baidu Stands Steady As Market Roils, Dives  : $BIDU : http://scroli.com/profile/BIDU #Baidu
48142573386215424;4;Corner: Use Weekly Chart To Spot Long Bases  : $BIDU : http://scroli.com/profile/BIDU #Baidu
48142575185567744;4;Baidu Bides Its Time By Forming A New Base  : $BIDU : http://scroli.com/profile/BIDU #Baidu
48175381223718912;2a;Someone just got a simple quote on $BIDU @simplestockqtes http://www.simplestockquotes.com/BIDU
48183581918507008;0;ERROR
48226551837364224;4;ERROR
48259420446146560;4;ERROR
48260509530718208;4;ERROR
48318571641708544;0;Baidu accused of infringing  : $BIDU : http://scroli.com/profile/BIDU #Baidu
48379238503550976;4;ERROR
48380175519453184;0;ERROR
48382593414078464;4;Lots of leaders up today: $AAPL, $CLF, $BIDU, $WYNN, $PCLN, $NFLX, $AAWW, $DE, $ISRG, $UNP, $JOBS etc.  $$
48390163155533825;2a;Tech. Stocks Trading Higher (Apple Inc., BIDU, SNDK, SOLR)  : $BIDU : http://scroli.com/profile/BIDU #Baidu
48393147776118784;4;ERROR
48396533321834497;4;ERROR
48397074689040386;4;ERROR
48401696426164224;2a;Come on $BIDU get to $125.
48415243063410689;4;ERROR
48415552963747840;4;$YOKU http://chart.ly/a4vf4o8 Nice action today $BIDU also acting well
48430941328257024;4;$BIDU continues above descending trendline. Still down gap unfilled from 2/18/201. 10 dma cross 20 dma bullish http://fsc.bz/CGb #WORDEN
48437527543164928;0;$SPY $AAPL $BIDU $LULU Total distribution. See ya at dow 11000. No buyers coming in at all
48440843807367169;2b;ERROR
48443805556424704;2a;$bidu within triangle 112 or 130 ... ?
48469122580881408;4;Short condors open for Apr $AAPL 315/320 380/385 $BIDU 100/105 135/140 $CF 110/115 145/150 $PCLN 405/410 510/515 $MA 225/230 270/275
48470962127114240;2a;Facebook: Buyer Beware, Says FINRA - Tech Trader Daily - Barron's $GOOG $YHOO $BIDU $YOKU $SOHU $SINA $EBAY $AMZN http://bit.ly/gehBiT
48474467969675265;2a;ERROR
48480066421796864;0;$bidu 130 mar calls earlier...was looking for a bounce ..now worthless
